Reference;Asset category;Asset;Input;Horizon;Predicted;Prob. AI Model;Composed with ML Model;Composed with Trad. model;Use of UQ;UQ Quality Assessment;Assessment Criteria UQ;Code
\textcite{Daniali2021};Volatility index;VIX;History, Technical;1 day;Price, Volatility;Deep Convolutional Neural Network (DCNN);N/A;Conditional Variance model;Not used;No;N/A;No
\textcite{arian2022encoded};Portfolio, Stocks;Frankfurt Stock Exchange(FSE) stocks portfolio, London Stock Exchange(LSE) stocks portfolio, S\&P500 Equity Index;History, Technical;1 day;Distributional Forecast, Financial Risk Measure;Variational Auto-encoder (VAE);N/A;N/A;Aleatoric (Volatility), Financial interpretation (e.g. VaR);Yes;Christoffersen’s Test, Conditional Coverage Test, Independence Test, Kupiec’s test, Lopez' loss function, Unconditional Coverage Test;Yes
\textcite{jang2018generative};Options;S\&P 100 American put options;Technical;1 day, 1 week;Price;Generative Bayesian Neural Network (Gen-BNN);N/A;N/A;Not used;No;N/A;No
\textcite{sher2023exploiting};Stocks;NYSE stock market | Taiwan Semiconductor Manufacturing Company Limited (TSM), NasdaqGS | Apple Inc. (AAPL), NasdaqGS | Broadcom Inc. (AVGO), NasdaqGS | Microsoft Corporation (MSFT), NasdaqGS | NVIDIA Corporation (NVDA);History;Not mentioned;Category;Hidden Markov Model (HMM);N/A;N/A;Not used;No;N/A;Yes
\textcite{Fatouros2023DeepVaR};Portfolio;AUDUSD, EURUSD, GBPUSD, USDJPY;History, Technical;1 day;Distributional Forecast, Financial Risk Measure;DeepAR (based on autoregressive RNN);N/A;N/A;Financial interpretation (e.g. VaR);Yes;Christoffersen’s Test, Conditional Coverage Test, Dynamic Quantile (DQ), Firm Loss, Quadratic Loss (QL), Smooth Loss, Unconditional Coverage Test;Yes
\textcite{lee2021estimation};Stock indices;NASDAQ-100 Future Index;History, Technical;1 week;Distributional Forecast;Conditional Generative Adversarial Network (CGAN);N/A;N/A;Non-distinguishing (confidence);Yes;Correlation between uncertainty and prediction error, Portfolio construction and evaluation;Yes
\textcite{Horenko2020};Stock indices;DJI, FTSE, Hang Seng Index (HSI), N225, SMI, SPX, STOXX;History, Technical;1 day;Distributional Forecast, Financial Risk Measure;TV-Entropy;N/A;N/A;Aleatoric (Volatility), Financial interpretation (e.g. VaR);Yes;Bayesian Information Criteria (BIC), Coverage probabillty, Kupiec’s test, negative log-likelihood (NLL);Yes
\textcite{Almeida2024RiskForecasting};Cryptocurrency;ETH - portfolio;History, Technical;1 day;Distributional Forecast, Financial Risk Measure;DeepAR (based on autoregressive RNN);N/A;N/A;Financial interpretation (e.g. VaR);Yes;Continuous Ranked Probability Score (CRPS), Elicitability score for VaR;No
\textcite{Law2017Practical};Bonds, Commodities, Credit Default Swap (CDS) Spreads, Stock indices;Bond Yield | GB10YR | UK Gilt 10YR, Bond Yield | US10YR | US Treasury 10YR, CDS Spread | IBM-CDS | INTERNATIONAL BUSINESS MACHINES CORPORATION 5YR, CDS Spread | WMT-CDS | WAL-MART STORES INC. 5YR, Commodity Futures | BRENT | ICE BRENT Crude Oil Front Month Futures, Commodity Futures | GOLD | CME GOLD Front Month Futures, Equity Index | FTSE | FTSE 100, Equity Index | SPX | S\&P 500;History;1 day;Distributional Forecast;Bayesian Support Vector Regression (B-SVR);N/A;N/A;Non-distinguishing (confidence);Yes;Correlation between uncertainty and prediction error;No
\textcite{cocco2021predictions};Cryptocurrency;Bitcoin (BTC), Ethereum (ETH);Technical;1 day, 1 month, 2 weeks;Distributional Forecast;BNN-SVR, Bayesian Neural Network (BNN);N/A;N/A;Non-distinguishing (confidence);No;N/A;No
\textcite{magris2023bayesian};Stocks;NASDAQ Nordic Helsinki exchange assets;History, Technical;Short (milliseconds);Category;Bayesian temporal attention augmented bilinear network (B-TABL);N/A;N/A;Non-distinguishing (confidence);Yes;Expected Calibration Distance (ECD), Expected Calibration Error (ECE);No
\textcite{Papaioannou2022gpr};Forex;AUD/USD, CAD/USD, CHF/USD, DKK/USD, EUR/USD, GBP/USD, JPY/USD, NOK/ USD, NZD/USD, SEK/USD;History;1 day;Price;Gaussian Process Regression (GPR);N/A;N/A;Not used;No;N/A;No
\textcite{Li2024DeepAR};Stocks;Chinese company stocks;History;Flexible;Distributional Forecast;DeepAR with attention (DeepARA);N/A;N/A;Non-distinguishing (confidence);Yes;Entropy of probability distribution;No
\textcite{Sharma2021};Stocks;Chinese company stocks, India stocks, UK stocks, USA stocks;History;1 day;Category, Distributional Forecast;Recurrent Dictionary Learing (RDL);N/A;N/A;Non-distinguishing (confidence);Yes;Log-loss;No
\textcite{hassan2023};Cryptocurrency;Bitcoin (BTC);History;1 day;Distributional Forecast;Bayesian LSTM with Monte Carlo Drouput;N/A;N/A;Epistemic (Model);No;N/A;No
\textcite{Park2014gpr};Options;KOSPI 200 Index options;Technical;Flexible;Price;Gaussian Process Regression (GPR);N/A;N/A;Not used;No;N/A;No
\textcite{Hocht2024gpr};Capped volatility swaps;Apple Inc. (AAPL), JPMorgan Chase \& Co (JPM), S\&P 500 stock index;Environment, History, Technical;Flexible;Volatility;Gaussian Process Regression (GPR);N/A;N/A;Not used;No;N/A;No
\textcite{Zmuk2020gpr};Stock indices;DAX performance-index (DAX) - Germany, Dow Jones Industrial Average (Dow Jones), Equity Index | SPX | S\&P 500, NASDAQ Composite (NASDAQ), Nikkei 225;History, Technical;1 month, 1 week, 2 weeks;Price;Gaussian Process Regression (GPR);N/A;N/A;Not used;No;N/A;No
\textcite{Golnari2024Cryptocurrency};Cryptocurrency;Bitcoin (BTC), Cardano (ADA), Ethereum (ETH), Litecoin (LTC), Polkadot (DOT), Stellar (XLM), Tron (TRX);History, Technical;5 minutes;Distributional Forecast;Probabilistic Gated Recurrent Units (P-GRU);N/A;N/A;Non-distinguishing (confidence);No;N/A;Yes
\textcite{Thawornwong2004pnn};Portfolio;S\&P 500 stock portfolio;Environment, Fundamental, History, Technical;1 month;Category;Probabilistic Neural Network (PNN);N/A;N/A;Not used;No;N/A;No
\textcite{Grudniewicz2023Application};Stock indices;BUX (Hungary), DAX performance-index (DAX) - Germany, Equity Index | SPX | S\&P 500, OMXR (Latvia), OMXT (Estonia), OMXV (Lithuania), PX (Czech Republic), SOFIX (Bulgaria), WIG20 (Poland index);History, Technical;20 days;Category;Bayesian Generalized Linear Model (BGLM), Naïve Bayes (NB);N/A;N/A;Not used;No;N/A;No
\textcite{vuletic2024finGAN};Stock indices, Stocks;APA, Amazon (AMZN), BLK, CL, DTE, ECL, EL, FDX, GD, GS, HD, HUM, IBM, INDEX=>, IP, KO, NKE, OXY, PEP, PFE, Stocks=>, TER, WEC, WFC, XKL (IBM TER), XLB (ECL IP), XLE (APA OXY), XLF (WFC GS BLK), XLI (FDX GD), XLP (CL EL KO PEP), XLU (DTE WEC), XLV (PFE HUM), XLY (AMZN HD NKE);Environment, History, Technical;Not mentioned;Distributional Forecast;Conditional Generative Adversarial Network (CGAN);N/A;N/A;Non-distinguishing (confidence);Yes;Portfolio construction and evaluation;No
\textcite{Lahmiri2024pnn};Stock indices, Stocks;Cisco, General Electric, NYSE, NasdaqGS | Apple Inc. (AAPL);History, Sentiment, Technical;1 day;Category;Probabilistic Neural Network (PNN);N/A;N/A;Not interpreted;No;N/A;No
\textcite{Min2023BlackLitterman};Portfolio, Stocks;USA stocks;History;50 months;Distributional Forecast;Gaussian Process Regression (GPR);N/A;Black-Litterman;Non-distinguishing (confidence);Yes;Portfolio construction and evaluation;No
\textcite{li2020multivariate};Commodities;e settle price value prediction results of DP-MAELS on soybean futures, soybean futures;Environment, Fundamental, History, Technical;Not mentioned;Price;Multimodal Variational Autoencoder (VAE);Long Short Term Memory Neural Network (LSTM), Recurrent Neural Network (RNN);N/A;Not used;No;N/A;No
\textcite{caprioli2023quantifying};Portfolio;Total Market index US, Total market index Emerging Markets, Total market index Europe, Total market index italy;History, Technical;1 year;Financial Risk Measure;Variational Auto-encoder (VAE);N/A;multi-factor Vasicek model;Financial interpretation (e.g. VaR);Yes;the largest eigenvalue of the correlation matrix;No
\textcite{choudhury2020enhancing};Stocks;AAPL | Apple, ADBE | Adobe, AMZN | Amazon.com, CERN | Cerner Corporation, COST Costco | Wholesale Corporation, EBAY | eBay, FAST | Fastenal Company, FB | Facebook, GOOG | Google, HAS Hasbro Inc, IDXX | IDEXX Laboratories Inc., INTC | Intel Corporation, NASDAQ;History, Technical;7-minutes;Price;Variational Auto-encoder (VAE);Long Short Term Memory Neural Network (LSTM);N/A;Not used;No;N/A;No
\textcite{tang2024period};Forex, Options, Stock indices, Stocks;CSI 300, ETF-Option, Equity Index | SPX | S\&P 500, Exchange-Rate, NASDAQ;History, Technical;1 week, 16 days, 32 days, 64 days;Price;Variational Auto-encoder (VAE);Latent Period-Aggregated Stock Transformer (LPAST);N/A;Not used;No;N/A;Yes
\textcite{Platanios2014gpr};Forex, Stock indices;(AUD) Australian Dollar / U.S. $, (CAC) French CAC 40, (CAD) Canadian Dollar / U.S. $, (CHF) Swiss Franc / U.S. $., (DAX) German DAX, (DEM) German Mark / U.S. $, (DKK) Danish Krone / U.S. $, (FRF) French Franc / U.S. $, (FTSE) U.K. FTSE 100, (GBP) U.K. Pound / U.S. $, (JPY) Japanese Yen / U.S. $, (NIK) Japanese Nikkei 225, (SP) U.S. S\&P 500, (TSX) Canadian TSX Composite, INDEX=>;History;1 day, 1 week, 30 days;Distributional Forecast, Volatility;nonparametric Bayesian mixture of Gaussian process regression models (GPMCH);N/A;N/A;Non-distinguishing (confidence);Yes;RMSE (against squared returns);No
\textcite{Li2024gpr};Portfolio;MSCI, NYSE (N), NYSE (O), S\&P 500 stock index, Toronto Stock Exchange (TSE);History, Technical;1 day;Distributional Forecast;Graph-Aware Gaussian Process (G4P);N/A;N/A;Non-distinguishing (confidence);Yes;Portfolio construction and evaluation;Yes
\textcite{hortua2024forecasting};Derivative index;volatility index (VIX);History;Not mentioned;Distributional Forecast;Bayesian Neural Network (BNN), WaveNet;Temporal Convolutional Network (TCN), Transformers;N/A;Distinguishing;Yes;Calibration diagrams, PICP (Prediction interval coverage probability), RMSCE, Scaling factor;No
\textcite{Tian2023};Volatility index;10-Year U.S. treasury note volatility index (TYVIX), crude oil ETF volatility index (COEVI), volatility index (VIX);Environment, History, Technical;Not mentioned;Distributional Forecast, Volatility;Fitting error analysis;Clockwork Recurrent Neural Network (CWRNN), Cuckoo-Search-enhanced Multi-Objective Grey Wolf Optimizer (MOGWOCS);N/A;Non-distinguishing (confidence);Yes;PICP (Prediction interval coverage probability), Prediction Interval Normalized Average Width (PINAW), Winkler Score, coverage widthbased criterion (CWC);No
\textcite{DeSpiegeleer2018gpr};Derivatives;S\&P 500 American Options, S\&P 500 European Options;Environment, History, Technical;Not mentioned;Distributional Forecast;Gaussian Process Regression (GPR);N/A;N/A;Not interpreted;No;N/A;No
\textcite{zhang2019high};Stock indices;CSI 300, S\&P 500 stock index;History, Technical;1 day;Category;Hidden Markov Model (HMM);N/A;N/A;Not interpreted;No;N/A;No
\textcite{su2022hmm};Stock indices;Hang Seng Index (HSI);History, Technical;1 month, 3 month, 6 month;Category, Price;Hidden Markov Model (HMM);k-means clustering;N/A;Not used;No;N/A;No
\textcite{cao2019multi};Forex, Stock indices;S\&P 500 stock index;History, Technical;1 week;Category;Multi-Layer Coupled Hidden Markov Model (MCHMM);N/A;N/A;Not interpreted;No;N/A;No
\textcite{govindasamy2014prediction};Stocks;N/A;History, Technical;Not mentioned;Price;PECEP (Combo of Complex Event Processing [CEP] and Probabilistic Fuzzy Logic [PFL]);N/A;N/A;Not used;No;N/A;No
\textcite{jang2018empirical};Cryptocurrency;Bitcoin (BTC);Environment, History, Technical;Not mentioned;Price;Bayesian neural networks (BNNs);N/A;N/A;Not used;No;N/A;No
\textcite{Park2024UncertaintyAware};Portfolio, Stocks;KOSPI stocks, NASDAQ stocks, NYSE stocks;History, Technical;Short (milliseconds);Distributional Forecast;risk-sensitive multiagent network (RSMAN);N/A;N/A;Distinguishing;Yes;Portfolio construction and evaluation;No
\textcite{Malagrino2018Forecasting};Stock indices;BSE 30 Sensex (India), Cac 40 (France), Dax (Germany), Dow Jones (USA), FTSE 100 (UK), Hang Seng (China), Merval (Argentina), NYSE Composite (USA), Nasdaq Composite (USA), Nikkei 225 (Japan), Shangai Composite (China), Stockholm General (Sweden);Environment, History, Technical;1 day, 2 days, 20 days;Category;Bayesian Neural Network (BNN);N/A;N/A;Not interpreted;No;N/A;No
\textcite{soleymani2022longterm};Stocks;AMD, AMZN, Apple Inc. (AAPL), GOOG, MSFT, NVDA, PFE, SHOP, WMT;History, Technical;10 days, 15 days, 20 days, 30 days, 5 days;Distributional Forecast;deep Bayesian neural networks (BNNs);temporal generative adversarial neural networks (t-GAN);N/A;Fed into other model;No;N/A;No
\textcite{Dixon2022Industrial};Stocks;IBM stock;History;1 day, 5 days;Distributional Forecast;Bayesian exponential smoothed RNNs (Bayes ES-RNN) (BNN);N/A;N/A;Non-distinguishing (confidence);Yes;Coverage probabillty;No
\textcite{Raúl_PlazaCasado_PradoRomán_2021};Stock indices;IBEX (spanish index);History, Sentiment;1 day;Category;Bayesian Network (BN);N/A;N/A;Non-distinguishing (confidence);Yes;Success rate;No
\textcite{kim2023portfolio};Portfolio;NASDAQ 100 stocks portfolio, S\&P 500 stock portfolio;History, Technical;1 month;Category;Predictive Auxiliary Classifier Generative Adversarial Networks (PredACGAN);N/A;N/A;Non-distinguishing (confidence);Yes;Entropy of probability distribution;Yes
\textcite{Risk2018gpr};Portfolio;N/A;Environment, History;1 year;Distributional Forecast, Financial Risk Measure;Gaussian Process Regression (GPR);N/A;N/A;Distinguishing, Financial interpretation (e.g. VaR);Yes;RMSE (against Harrell-Davis as ground truth);No
\textcite{Wang2024GoldForecasting};Commodities;Gold price;Environment, History, Sentiment;Not mentioned;Confidence Interval;Quantile Regression (QR), Quantile Regression Bi-Directional Long Short-Term Memory (QRBiLSTM);N/A;N/A;Aleatoric (Volatility);Yes;PICP (Prediction interval coverage probability), Prediction Interval Normalized Average Width (PINAW), Quantile loss (QL), Semi-interval metric, average interval score (AIS);No
\textcite{Maniatopoulos2022pnn};Stocks;US Dow Jones - company stocks;Environment, History, Technical;10 days, 15 days, 20 days, 5 days;Category;probabilistic feed-foward neural network (P FF-ANN);N/A;N/A;Not used;No;N/A;No
\textcite{Parker2021BayesianHeteroskedastic};Stock indices;Dow Jones industrial;Environment, History, Technical;Not mentioned;Volatility;Echo State Volatility Model (ESVM);N/A;N/A;Distinguishing;Yes;Coverage probabillty, MSEV;No
\textcite{wang2020fastconformal};Stocks;N/A;History, Technical;Not mentioned;Distributional Forecast;Leave-One-Out Cross-Conformal Predictive System (LOO-CCPS);N/A;N/A;Non-distinguishing (confidence);Yes;Coverage probabillty, e continuous ranked probability score (CRPS);No
\textcite{Zhang2016};Stocks;National Association of Securities Dealers Automated Quotations (NASDAQ), Second-board Market of Shenzhen Stock Exchange (SZSE);History, Technical;Flexible;Category;Probabilistic Support Vector Machine (PSVM);AdaBoost, Genetic Algorithm (GA);N/A;Not interpreted;No;N/A;No
\textcite{salama2024gan};Stocks;AXISBANK, BHEL, MARUTI, TATASTEEL, TCS, WIPRO;History, Technical;Short (milliseconds);Price;Conditional Generative Adversarial Network (CGAN);Spotted Hyena Optimization Algorithm (SHOA);N/A;Not used;No;N/A;No
\textcite{xing2019sentiment};Stocks;Aegon Ltd (AGN), Alibaba-group (BABA), Amazon (AMZN), Apple Inc. (AAPL), Goldman Sachs Group (GS), Google (GOOG), Pfizer (PFE), Stamper Oil \& Gas Corp (STMP), Starbucks (SBUX), Tesla (TSLA);History, Sentiment, Technical;1 day;Volatility;Variational Auto-encoder (VAE);Recurrent Neural Network (RNN);N/A;Aleatoric (Volatility);Yes;negative log-likelihood (NLL);No
\textcite{li2010stochastic};Forex, Stock indices;Taiwan Weighted Stock Index;History, Technical;2 month;Price;Stochastic Hidden Markov Model (HMM);N/A;N/A;Not used;No;N/A;No
\textcite{chandra2021bayesian};Stocks;3M Company(MMM), China Spacesat Company Limited (600118.SS, Commonwealth Bank of Australia (CBA.AX), Daimler AG (DAI. DE);History;1 week;Distributional Forecast;Langevin-gradient Bayesian neural networks (BNN) with parallel tempering Markov Chain Monte Carlo (MCMC);N/A;N/A;Non-distinguishing (confidence);No;Confidence interval;Yes
\textcite{Chandrasekara2019pnn};Stock indices, Stocks;Australian stock market index (AORD), S\&P 500 stock index, Sri Lankan stock market index(ASPI);Environment, History, Technical;1 day;Category;Probabilistic Neural Network (PNN);multi-class undersampling-based bagging (MCUB);N/A;Not interpreted;No;N/A;No
\textcite{Wang2021gpr};Stock indices;Dow Jones Industrial Average (Dow Jones), NASDAQ, S\&P 500 stock index;History, Technical;1 day;Distributional Forecast;Gaussian Process Regression (GPR);Auto-Encoder (AE), Long Short Term Memory Neural Network (LSTM), Recurrent Neural Network (RNN), Variational Mode Decomposition (VMD);N/A;Non-distinguishing (confidence);Yes;MC (Mean coverage), MWP (Mean width percentage), PICP (Prediction interval coverage probability);No
\textcite{Wang2021gprensemble};Stock indices;Hang Seng Index (HSI), Nikkei 225 Index;History;1 day;Distributional Forecast;Gaussian Process Regression (GPR);Enhanced Weighted Support Vector Machine (EWSVM), Recurrent Neural Network (RNN);Singular Spectrum Analysis (SSA);Non-distinguishing (confidence);Yes;Coverage probabillty, MWP (Mean width percentage), Mean width divided by coverage probability;No
\textcite{Suphawan2022gpr};Stock indices;Stock Exchange Thailand (SET);History, Technical;1 day;Distributional Forecast;Gaussian Process Regression (GPR);N/A;N/A;Non-distinguishing (confidence);No;N/A;No
\textcite{nan};N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
\textcite{nan};N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
